hour_utc,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
0,29.08,23.08,74.64,197.11,79.97,66.84,81.93,130.46,,,,,,,,,,43.2,29.72,103.59,158.81,84.99,64.23,70.07,145.89,,,,,,,,,,43.72,29.78,103.73,159.03,85.03,64.59,70.53,145.89,,,,,,,,,,31.97,25.29,90.5,232.29,83.3,49.7,55.88,120.01,,,,,,,,,,43.74,31.44,107.79,265.06,112.58,95.53,106.34,156.86,,,,,,,,,
1,28.1,21.9,72.21,191.73,77.68,65.16,80.1,127.73,,,,,,,,,,41.57,28.25,100.13,152.95,82.21,62.09,66.47,145.15,,,,,,,,,,41.99,28.35,100.26,153.13,82.22,62.52,66.95,145.15,,,,,,,,,,29.52,23.54,84.52,221.57,78.25,44.57,50.34,110.88,,,,,,,,,,42.08,29.77,104.11,258.18,109.35,93.06,104.6,153.88,,,,,,,,,
2,27.82,21.42,71.8,190.72,77.04,64.72,80.46,127.74,,,,,,,,,,40.74,27.54,97.09,150.08,80.08,60.32,64.51,143.99,,,,,,,,,,41.11,27.65,97.26,150.15,80.09,60.69,64.9,143.99,,,,,,,,,,27.52,22.08,79.12,214.88,73.45,39.99,46.49,108.79,,,,,,,,,,41.34,28.96,102.89,255.52,107.92,92.31,104.07,151.4,,,,,,,,,
3,29.15,22.73,75.53,201.63,80.8,68.35,84.66,131.71,,,,,,,,,,41.02,27.9,97.23,151.77,81.04,60.5,65.02,144.63,,,,,,,,,,41.32,28.0,97.43,151.99,81.07,60.76,65.24,144.63,,,,,,,,,,28.73,22.63,82.88,223.02,76.74,42.23,47.56,116.77,,,,,,,,,,42.43,30.01,105.12,261.03,110.34,94.38,106.26,153.39,,,,,,,,,
4,34.11,27.14,88.42,232.5,93.88,80.14,94.94,139.64,,,,,,,,,,42.64,30.08,103.75,160.81,87.5,64.97,70.14,148.71,,,,,,,,,,42.81,30.16,103.84,160.86,87.54,64.93,69.93,148.71,,,,,,,,,,33.02,26.2,96.15,252.62,87.2,50.03,56.05,123.34,,,,,,,,,,46.68,34.03,114.89,284.21,119.64,102.91,115.56,163.48,,,,,,,,,
5,40.38,32.5,103.58,261.66,108.71,91.46,106.03,135.04,,,,,,,,,,45.7,32.7,111.45,174.87,96.12,73.64,80.26,147.6,,,,,,,,,,45.78,32.71,111.33,174.96,96.08,72.83,79.4,147.6,,,,,,,,,,39.71,31.37,112.0,290.9,103.66,63.17,69.34,122.31,,,,,,,,,,52.74,39.49,127.9,315.37,134.71,116.06,126.73,168.09,,,,,,,,,
6,44.31,36.35,115.04,277.6,112.5,93.43,107.54,117.44,,,,,,,,,,49.09,35.16,118.7,183.6,101.23,75.97,83.28,123.32,,,,,,,,,,49.04,35.04,118.25,183.46,101.18,74.72,82.29,123.5,,,,,,,,,,44.76,35.92,125.4,314.39,113.65,73.25,78.62,111.69,,,,,,,,,,57.18,42.81,138.12,334.64,143.31,122.81,130.61,161.38,,,,,,,,,
7,43.54,35.78,112.8,262.88,106.75,83.97,96.7,85.96,,,,,,,,,,50.56,36.16,119.75,180.17,96.23,69.22,70.53,85.69,,,,,,,,,,50.46,35.98,119.48,180.18,96.27,68.55,71.16,87.96,,,,,,,,,,45.64,37.05,126.26,307.07,111.39,69.28,73.48,79.89,,,,,,,,,,58.16,43.48,139.28,327.97,141.66,119.98,125.66,154.68,,,,,,,,,
8,41.13,33.12,106.46,239.56,94.68,71.25,77.8,59.36,,,,,,,,,,50.85,35.87,116.72,169.41,83.64,56.62,51.23,59.51,,,,,,,,,,50.8,35.83,116.69,170.3,84.68,57.03,53.47,66.22,,,,,,,,,,44.37,36.03,121.48,291.39,101.89,59.29,58.02,48.64,,,,,,,,,,55.81,41.19,134.25,309.96,131.09,109.72,114.15,142.29,,,,,,,,,
9,39.2,31.02,100.9,220.11,85.08,60.68,63.11,40.15,,,,,,,,,,50.55,35.39,112.64,158.95,73.69,46.83,38.59,42.68,,,,,,,,,,50.56,35.39,112.76,160.39,77.14,48.19,41.14,53.13,,,,,,,,,,43.23,35.08,116.22,283.26,93.2,49.71,45.81,29.78,,,,,,,,,,52.88,39.04,129.0,298.27,120.44,100.75,103.5,131.91,,,,,,,,,
10,37.34,29.26,96.6,205.8,77.54,53.19,52.28,26.14,,,,,,,,,,50.13,35.17,109.41,153.88,69.16,41.73,32.57,35.42,,,,,,,,,,50.22,35.21,109.55,154.75,72.78,43.45,35.05,45.14,,,,,,,,,,41.94,34.67,113.51,279.11,87.55,44.84,40.44,23.16,,,,,,,,,,49.37,37.46,124.25,288.08,112.15,92.25,94.24,123.01,,,,,,,,,
11,35.23,26.75,90.49,192.37,70.5,47.45,45.96,17.45,,,,,,,,,,49.73,34.76,107.38,150.98,66.26,39.49,29.5,33.01,,,,,,,,,,49.86,34.81,107.48,151.86,70.11,40.9,32.07,42.26,,,,,,,,,,39.94,32.9,107.23,264.96,79.58,40.06,35.53,18.52,,,,,,,,,,47.2,35.52,119.99,276.16,106.35,87.78,89.72,122.86,,,,,,,,,
12,34.09,25.19,86.77,186.94,67.82,46.96,46.68,16.85,,,,,,,,,,48.44,33.85,104.85,145.55,62.92,37.78,27.65,34.82,,,,,,,,,,48.63,33.91,104.98,146.44,66.55,39.04,30.04,40.86,,,,,,,,,,37.8,30.6,100.61,259.65,75.03,36.7,31.54,20.44,,,,,,,,,,48.14,34.94,119.25,276.84,106.62,89.36,92.12,125.42,,,,,,,,,
13,34.84,26.28,89.46,197.55,73.83,53.7,56.3,23.97,,,,,,,,,,46.67,32.22,100.38,140.76,60.31,36.74,27.45,31.97,,,,,,,,,,47.09,32.33,100.78,141.56,64.61,38.74,30.04,37.66,,,,,,,,,,36.96,29.32,99.16,255.84,77.83,38.4,33.51,20.1,,,,,,,,,,50.46,36.21,122.39,285.46,112.82,95.37,98.41,129.1,,,,,,,,,
14,36.67,28.92,95.87,216.43,85.08,67.61,72.18,41.08,,,,,,,,,,45.68,31.6,99.75,139.5,61.46,38.15,31.0,37.2,,,,,,,,,,46.28,31.84,100.28,140.49,65.43,39.93,33.24,40.69,,,,,,,,,,37.21,30.08,102.21,259.39,83.69,44.37,39.81,27.41,,,,,,,,,,53.61,38.79,127.97,301.52,121.4,105.3,109.61,142.98,,,,,,,,,
15,40.82,33.72,108.26,252.18,101.05,86.81,95.86,69.4,,,,,,,,,,46.22,32.63,105.81,146.76,69.35,46.3,41.25,48.92,,,,,,,,,,46.7,32.84,106.09,147.3,72.28,47.45,42.98,50.45,,,,,,,,,,40.01,33.09,111.88,281.4,96.08,53.6,51.67,57.15,,,,,,,,,,56.58,42.34,134.32,320.91,132.49,115.62,122.98,155.51,,,,,,,,,
16,46.16,39.96,123.69,293.42,121.42,110.44,123.22,111.12,,,,,,,,,,48.06,35.07,115.63,163.1,83.37,59.32,58.96,67.4,,,,,,,,,,48.31,35.1,115.68,163.42,85.0,59.56,60.29,67.4,,,,,,,,,,45.52,38.52,127.37,315.67,115.82,69.62,70.85,98.15,,,,,,,,,,61.38,47.45,144.19,350.0,147.12,128.38,135.23,169.46,,,,,,,,,
17,49.62,44.01,129.8,318.91,138.24,126.76,141.02,149.96,,,,,,,,,,50.68,38.03,126.1,185.83,102.26,75.96,82.92,102.68,,,,,,,,,,50.69,37.96,126.04,185.88,102.06,76.1,83.71,102.68,,,,,,,,,,49.5,43.52,138.95,345.02,131.55,86.53,93.52,137.31,,,,,,,,,,66.01,52.11,152.77,379.55,165.48,143.83,146.62,186.9,,,,,,,,,
18,48.21,41.61,122.15,308.94,132.65,124.66,137.33,173.03,,,,,,,,,,52.88,40.27,132.61,207.45,119.24,90.05,105.43,143.46,,,,,,,,,,52.87,40.17,132.56,207.4,119.09,89.65,105.45,143.46,,,,,,,,,,48.56,41.85,136.16,341.15,131.91,88.5,99.1,157.15,,,,,,,,,,66.65,51.9,149.14,377.09,167.04,144.03,149.43,194.13,,,,,,,,,
19,43.73,36.27,109.42,281.23,118.53,103.56,120.37,173.37,,,,,,,,,,53.96,40.86,133.11,213.22,122.33,98.78,115.64,173.86,,,,,,,,,,53.96,40.77,133.15,213.23,122.25,98.69,115.13,173.86,,,,,,,,,,45.0,37.46,124.85,315.78,121.46,81.72,91.92,162.25,,,,,,,,,,62.17,46.87,138.2,346.84,150.5,128.88,136.77,189.26,,,,,,,,,
20,40.16,32.96,99.56,260.44,107.49,90.16,106.49,164.75,,,,,,,,,,52.12,39.29,127.18,201.78,114.62,90.14,104.25,171.4,,,,,,,,,,52.16,39.26,127.2,201.82,114.55,90.07,104.07,171.4,,,,,,,,,,43.12,34.73,116.57,294.28,112.27,77.83,87.2,162.06,,,,,,,,,,55.99,42.34,127.38,320.08,134.82,115.16,125.93,181.36,,,,,,,,,
21,36.78,29.96,90.63,237.25,98.41,81.3,97.1,150.26,,,,,,,,,,49.51,36.29,119.11,184.51,104.34,80.98,90.9,157.51,,,,,,,,,,49.58,36.28,119.04,184.58,104.39,80.96,91.2,157.51,,,,,,,,,,40.72,33.12,109.66,279.01,104.32,72.42,79.6,148.32,,,,,,,,,,50.32,37.87,119.27,300.98,126.46,107.88,118.87,168.53,,,,,,,,,
22,32.92,26.79,81.76,218.28,90.51,75.08,90.11,143.47,,,,,,,,,,48.41,34.28,114.29,176.98,97.65,74.57,83.64,153.51,,,,,,,,,,48.55,34.29,114.44,177.13,97.65,74.71,83.96,153.51,,,,,,,,,,37.42,30.67,101.95,257.39,96.74,62.47,69.16,136.06,,,,,,,,,,48.43,35.94,115.98,285.37,121.65,103.62,114.39,171.95,,,,,,,,,
23,30.62,24.6,78.56,205.34,84.05,70.62,85.68,136.17,,,,,,,,,,45.88,31.92,110.04,168.39,90.53,68.79,75.56,147.99,,,,,,,,,,46.29,32.0,110.2,168.66,90.6,68.98,76.17,147.99,,,,,,,,,,34.6,27.19,95.57,240.8,87.97,54.19,60.51,131.15,,,,,,,,,,46.52,33.69,112.9,275.8,117.15,99.61,110.21,163.14,,,,,,,,,
