row,win_year,f1_Ge_w,f1_Sp_w,f1_Po_w,f1_Fr_w,f1_It_w,f3_Ge_w,f3_Sp_w,f3_Po_w,f3_Fr_w,f3_It_w,i_DE_w1,i_DE_w2,i_DE_w3,i_DE_w4,i_DE_w5,i_DE_w6,i_DE_w7,i_DE_w8,i_ES_w1,i_ES_w2,i_ES_w3,i_ES_w4,i_ES_w5,i_ES_w6,i_ES_w7,i_ES_w8,a_DE_w1,a_DE_w2,a_DE_w3,a_DE_w4,a_DE_w5,a_DE_w6,a_DE_w7,a_DE_w8,c_DE_w1,c_DE_w2,c_DE_w3,c_DE_w4,c_DE_w5,c_DE_w6,c_DE_w7,c_DE_w8,c_ES_w1,c_ES_w2,c_ES_w3,c_ES_w4,c_ES_w5,c_ES_w6,c_ES_w7,c_ES_w8,d_PT_w1,d_PT_w2,d_PT_w3,d_PT_w4,d_PT_w5,d_PT_w6,d_PT_w7,d_PT_w8,n_DE_w1,n_DE_w2,n_DE_w3,n_DE_w4,n_DE_w5,n_DE_w6,n_DE_w7,n_DE_w8
1,2019,15.52,10.88,10.81,14.02,12.67,211.0,0.0,0.0,27.0,0.0,0.7721,0.7574,0.7706,0.8372,0.8402,0.8513,0.9172,1.0416,0.9061,0.8751,0.9254,0.9481,0.9757,1.0188,1.0733,1.2545,29.08,23.08,74.64,197.11,79.97,66.84,81.93,103.72,21.0,0.0,0.0,0.0,14.0,11.0,17.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,74.74,68.9,409.0,651.0,220.0,193.0,240.0,255.16,31.06,29.22,33.71,29.82,25.37,26.77,27.46,28.75
2,2020,17.5,11.42,11.26,16.11,14.63,298.0,0.0,0.0,102.0,0.0,0.7461,0.7187,0.7456,0.8143,0.8162,0.8299,0.8967,1.0215,0.8718,0.8319,0.8945,0.9131,0.9438,0.9847,1.0182,1.207,28.1,21.9,72.21,191.73,77.68,65.16,80.1,101.73,27.0,0.0,0.0,1.0,14.0,12.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,69.81,56.62,334.55,395.65,165.22,158.47,169.22,178.78,30.92,29.04,33.54,29.76,25.25,26.55,27.23,28.71
3,2021,73.68,74.71,74.7,84.31,81.08,139.0,0.0,0.0,64.0,0.0,0.7387,0.7029,0.7413,0.81,0.8094,0.8244,0.9008,1.0229,0.8545,0.8111,0.8673,0.896,0.9194,0.9566,0.9882,1.1737,27.82,21.42,71.8,190.72,77.04,64.72,80.46,101.87,27.0,2.0,0.0,6.0,14.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,68.4,54.56,307.92,330.07,159.37,150.0,157.84,171.71,31.66,29.72,34.24,30.51,25.89,27.1,27.84,29.39
4,2022,142.82,69.46,69.13,145.84,133.15,70.0,0.0,0.0,4.0,0.0,0.7738,0.7458,0.7799,0.8564,0.8489,0.8705,0.9477,1.0514,0.8604,0.8215,0.8686,0.9061,0.9303,0.9597,0.996,1.19,29.15,22.73,75.53,201.63,80.8,68.35,84.66,104.7,27.0,4.0,0.0,6.0,16.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,67.66,53.28,285.23,291.01,153.93,144.38,150.99,165.68,33.53,31.49,36.03,32.27,27.61,28.69,29.58,30.9
5,2023,47.58,41.34,39.93,45.53,35.59,300.0,0.0,0.0,147.0,0.0,0.9055,0.8905,0.913,0.9875,0.9863,1.0208,1.0628,1.1351,0.8944,0.8858,0.9268,0.96,1.0045,1.0305,1.0744,1.2774,34.11,27.14,88.42,232.5,93.88,80.14,94.94,113.04,27.0,4.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,66.5,52.53,265.35,278.0,150.0,140.09,145.0,159.42,37.41,34.95,39.51,35.62,30.89,31.79,32.75,33.45
6,2024,52.73,45.94,45.57,40.66,29.66,457.0,247.0,196.0,352.0,0.0,1.0721,1.0666,1.0695,1.1114,1.1422,1.1649,1.1869,1.1786,0.9586,0.9629,0.9956,1.044,1.1035,1.168,1.2294,1.3521,40.38,32.5,103.58,261.66,108.71,91.46,106.03,117.37,27.0,4.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,65.0,51.73,254.76,268.04,146.73,136.59,138.86,154.3,41.26,38.43,42.84,38.62,33.81,34.43,35.17,34.65
7,2025,52.09,47.61,46.44,46.38,29.69,576.0,556.0,200.0,513.0,0.0,1.1763,1.1929,1.1878,1.1791,1.182,1.19,1.2039,1.1383,1.0297,1.0354,1.0603,1.0961,1.1621,1.2049,1.2756,1.2363,44.31,36.35,115.04,277.6,112.5,93.43,107.54,113.36,27.0,4.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,63.64,50.92,248.02,260.79,143.9,133.02,134.42,149.51,43.1,40.07,44.27,39.48,34.58,34.85,34.87,32.7
8,,,,,,,,,,,,1.1559,1.1741,1.1647,1.1165,1.1216,1.0695,1.0825,0.9707,1.0604,1.0647,1.0697,1.0756,1.1047,1.0979,1.0803,0.8972,43.54,35.78,112.8,262.88,106.75,83.97,96.7,96.66,27.0,6.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,62.01,50.27,240.45,255.0,141.39,130.0,130.86,142.63,42.1,38.89,43.02,37.47,32.56,32.37,31.38,27.53
9,,,,,,,,,,,,1.092,1.087,1.0992,1.0175,0.9948,0.9075,0.871,0.7692,1.0666,1.0562,1.0427,1.0114,0.9602,0.8981,0.7847,0.5707,41.13,33.12,106.46,239.56,94.68,71.25,77.8,76.6,27.0,6.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,60.8,49.87,234.04,250.0,139.48,127.32,127.94,137.22,40.03,36.63,40.73,34.44,29.43,28.73,26.71,21.87
10,,,,,,,,,,,,1.0408,1.0181,1.0419,0.9349,0.894,0.7729,0.7065,0.6023,1.0601,1.0421,1.0062,0.9489,0.846,0.7428,0.5911,0.389,39.2,31.02,100.9,220.11,85.08,60.68,63.11,59.98,27.0,6.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,59.97,49.16,228.86,247.37,137.67,124.98,125.21,133.28,38.31,34.97,38.91,31.96,26.86,25.64,22.92,17.48
